1	Февраль д1	-9.19	-23.23	-20.21	-4.2	-14.67	-11.9	-17.67	-20.58889	-3.94	-7.59	-11.16	-3.06	-8.89	-12.21	-10.9	-11.01	-13.41	-10.7	-4.63	-11.13
2		-9.6	-11.55	-16.05	-6.3	-8.91	-17.46	-20.19	-16.25	-5.96	-4.45	-5.23	-2.89	-4.56	-9.24	-2.88	0.81	-23.21	-3.24	-6.9	-17.03
3		-15.275	-9.3125	-14.8625	-9.26667	-9.05	-17.2125	-15.2125	-7.4	-6.7625	-5.925	0.95	-4.58889	-9.3125	-16.425	-5.4875	-3.11111	-17.5	-4.8625	-12.2	-1.27778
4		-13.67	-15.05	-2.89	-13.53333	-5.88	-6.7	-3.59	-8.07	-16.32	-1.26	0.32	-3.91	-4.02	-14.74	-9.2	-3.58	-12.96	-9	-11.31	-2.39
5		-14.23	-8.09	0.64	-6.63	-5.17778	-12.32	-5.42	-7.66	-17.19	-5.43	0.01	-3.82	-1.15	-11.55	-3.53	-1.66	-9.16	-2.63	-4.02	-2.67
6		-10.64545	-12.8	-0.5	-5.21818	-5.84545	-6.91818	-7.13636	-12.3	-15.92727	-3.40909	-4.36364	-2.22727	-2.66364	-14.52727	-0.80909	-3.36364	-1.62727	-4.81818	-5.49091	-4.54545
7		-1.22	0.26667	-3.57	-0.84	-7.81	1.85	0.6	-7.36	-6.47	-6.34	0.23	0.55	-3.33	-1.8	-1.5	-2.36	0.36	-4.03	-4.09	-5.16
8		-4.23	-0.01	0.4	-3.33	-2.51	0.32	-0.04	0.26	1.7	2.16	-0.3	-0.02	-4.82	-1.44	-0.63	-0.24	2.28	0.78	-2.89	-2.31
9		-2.42	-0.36	1.36	-0.6	-1.5	1	1.1	2.71	1.45	0.27	0.22	3.72	-1.03	-0.32	1.29	-0.95	2.05	-0.85	0.89	0.19
10	Май д1	0.43	3.96	1.13	2.7375	2.78	4.15	4.2	1.77	3.79	-0.9	5	6.77	0.28	2.52	3.61	4	1.81	2.21	2.9	-2.09
1		2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4
2		-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33	-8.33
3																					
4																					
5																					
6																					
7																					
8																					
9																					
10																					
1																					
2																					
3																					
4		3	3																		
5		4	4																		
6		5	5																		
7		6	6																		
8		7	7																		
9		8	8																		
10		9	9																		
1		10	10																		
2		1	1																		
3		2	2																		
4		3	3																		
5		4	4																		
6		5	5																		
7		6	6																		
8		7	7																		
9		8	8																		
10		9	9																		
1		10	10																		
2		1	1																		
3		2	2																		
4		3	3																		
5		4	4																		
6		5	5																		
7		6	6																		
8		7	7																		
9		8	8																		
10		9	9																		
1		10	10																		
2		1																			
3		2																			
4		3																			
5		4																			
6		5																			
7		6																			
8		7																			
9		8																			
10		9																			
1		10																			
2		1																			
3		2																			
4		3																			
5		4																			
6		5																			
7		6																			
8		7																			
9		8																			
10		9																			
1		10																			
2		1																			
3		2																			
4		3																			
5		4																			
6		5																			
7		6																			
8		7																			
9		8																			
10		9																			
1		10																			
2																					
3																					
4																					
5																					
6																					
7																					
8																					
9																					
10																					
